,time,rank,score
378,2021/12/5 12:45,4,13700
379,2021/12/5 12:09,2,27700
380,2021/12/4 23:18,4,12200
381,2021/12/4 22:26,4,2200
382,2021/12/4 21:54,4,19500
383,2021/12/4 21:21,2,28700
384,2021/12/4 20:41,4,4500
385,2021/12/4 20:29,3,23400
386,2021/12/4 20:13,2,28900
387,2021/12/4 19:41,1,38600
388,2021/12/4 18:54,2,44900
389,2021/12/4 18:17,1,52600
390,2021/12/4 00:55,4,18900
391,2021/12/4 00:03,2,27800
392,2021/12/3 22:45,1,46300
393,2021/12/3 22:12,1,34700
394,2021/12/3 21:26,4,13800
395,2021/12/3 20:41,1,39700
396,2021/12/3 20:01,4,-300
397,2021/12/3 15:21,4,-2000
398,2021/12/3 14:49,1,37300
399,2021/12/3 14:14,1,34100
400,2021/12/3 13:45,2,22100
401,2021/12/3 12:36,2,27000
402,2021/12/3 11:15,2,37200
403,2021/12/3 05:01,1,43200
404,2021/12/3 04:06,3,10100
405,2021/12/3 03:31,4,-500
406,2021/12/3 02:12,3,19900
407,2021/12/2 13:50,1,42600
408,2021/12/2 12:57,3,25700
409,2021/12/2 12:13,2,24900
410,2021/12/2 11:31,1,41600
411,2021/12/2 10:37,2,35900
412,2021/12/1 20:36,3,15700
413,2021/12/1 19:48,2,24800
414,2021/12/1 19:05,4,15700
415,2021/12/1 17:48,3,23000
416,2021/12/1 15:53,3,9700
417,2021/12/1 15:18,3,15100
418,2021/12/1 14:28,2,28200
419,2021/12/1 13:38,2,26800
420,2021/12/1 12:55,4,18800
421,2021/12/1 12:05,3,15800
422,2021/12/1 10:15,4,16200
423,2021/12/1 09:42,1,45300
424,2021/12/1 00:15,3,20900
425,2021/11/30 23:36,1,55200
426,2021/11/30 23:08,2,22900
427,2021/11/30 22:19,1,44900
428,2021/11/30 21:32,2,35300
429,2021/11/30 14:23,4,2600
430,2021/11/30 13:40,4,22500
431,2021/11/30 13:05,4,2600
432,2021/11/30 12:36,2,21400
433,2021/11/29 21:05,2,37200
434,2021/11/29 20:12,4,-300
435,2021/11/29 19:40,4,16800
436,2021/11/29 18:56,2,33500
437,2021/11/29 18:26,4,17500
438,2021/11/29 15:59,1,49900
439,2021/11/29 15:10,1,38700
440,2021/11/29 14:26,1,40800
441,2021/11/29 13:38,2,29700
442,2021/11/29 12:58,4,16000
443,2021/11/29 12:12,1,50300
444,2021/11/28 21:07,4,8900
445,2021/11/28 20:40,4,-4700
446,2021/11/28 18:47,4,-2100
447,2021/11/28 18:15,3,17000
448,2021/11/28 17:43,2,34400
449,2021/11/28 16:53,1,31300
450,2021/11/28 14:56,1,30900
451,2021/11/28 13:58,3,22800
452,2021/11/28 13:33,3,19700
453,2021/11/28 12:47,1,40400
454,2021/11/28 12:04,1,41900
455,2021/11/28 11:18,1,48800
456,2021/11/28 10:25,3,30600
457,2021/11/28 09:27,3,28600
458,2021/11/28 08:26,4,-4800
459,2021/11/27 22:49,3,28300
460,2021/11/27 22:10,1,36900
461,2021/11/27 21:12,4,2400
462,2021/11/27 20:34,3,22200
463,2021/11/27 19:53,1,45400
464,2021/11/27 19:19,1,40200
465,2021/11/27 18:39,4,-3200
466,2021/11/27 16:42,4,14300
467,2021/11/27 15:37,1,44000
468,2021/11/27 14:41,2,45900
469,2021/11/27 14:05,1,35900
470,2021/11/27 13:01,3,6300
471,2021/11/27 12:23,4,15200
472,2021/11/27 11:40,4,12600
473,2021/11/27 10:51,2,26700
474,2021/11/27 10:16,1,39100
475,2021/11/27 09:40,1,58800
476,2021/11/27 03:26,1,36400
477,2021/11/27 02:35,1,60700
478,2021/11/26 09:41,4,15400
479,2021/11/26 09:03,2,28800
480,2021/11/26 08:26,2,22600
481,2021/11/26 07:43,4,15200
482,2021/11/26 06:16,4,200
483,2021/11/26 04:44,3,26800
484,2021/11/26 03:32,4,14700
485,2021/11/26 02:33,4,14400
486,2021/11/26 01:46,3,5800
487,2021/11/26 00:55,1,48900
488,2021/11/20 05:54,2,22600
489,2021/11/20 05:10,4,200
490,2021/11/20 04:24,4,-200
491,2021/11/20 03:46,4,12300
492,2021/11/20 02:52,2,38800
493,2021/11/20 02:19,2,23000
494,2021/11/20 01:46,1,39100
495,2021/11/20 00:48,4,14200
496,2021/11/19 23:51,4,15900
497,2021/11/19 23:05,4,13200
498,2021/11/19 05:50,2,28400
499,2021/11/19 04:28,3,19800
500,2021/11/19 03:36,2,22700
501,2021/11/19 02:42,2,23200
502,2021/11/19 01:37,4,7300
503,2021/11/19 00:56,4,-4800
504,2021/11/18 23:52,3,20800
505,2021/11/18 23:11,1,46500
506,2021/11/18 16:41,2,26300
507,2021/11/18 03:12,3,23500
508,2021/11/18 02:18,1,65800
509,2021/11/18 01:33,4,100
510,2021/11/18 00:45,4,-12300
511,2021/11/17 23:55,2,27900
512,2021/11/17 23:02,3,20000
513,2021/11/17 22:34,4,15500
514,2021/11/17 22:04,2,23100
515,2021/11/17 21:38,2,27800
516,2021/11/17 20:59,1,36200
517,2021/11/17 20:07,1,30500
518,2021/11/17 18:00,4,12700
519,2021/11/17 17:17,4,6800
520,2021/11/17 16:36,2,31600
521,2021/11/17 15:35,2,25600
522,2021/11/17 15:08,1,41200
523,2021/11/17 04:30,2,26100
524,2021/11/17 03:54,1,46300
525,2021/11/17 03:20,1,34800
526,2021/11/17 02:51,1,55500
527,2021/11/17 02:22,3,17500
528,2021/11/17 01:42,4,-200
529,2021/11/17 01:08,1,37500
530,2021/11/17 00:32,2,30100
531,2021/11/16 23:47,3,19000
532,2021/11/16 23:11,4,1900
533,2021/11/16 22:28,3,23600
534,2021/11/16 21:55,1,35300
535,2021/11/16 21:07,4,8000
536,2021/11/16 17:08,1,47400
537,2021/11/16 16:16,4,6000
538,2021/11/16 15:39,3,20600
539,2021/11/16 07:12,2,29500
540,2021/11/16 05:43,1,38700
541,2021/11/16 05:00,1,45800
542,2021/11/16 04:11,2,24900
543,2021/11/16 03:20,2,35000
544,2021/11/16 02:50,1,50300
545,2021/11/16 01:43,2,11400
546,2021/11/16 01:22,2,32100
547,2021/11/16 00:48,3,25000
548,2021/11/16 00:15,3,14000
549,2021/11/15 23:56,2,24200
550,2021/11/15 23:16,1,34000
551,2021/11/15 22:11,3,15500
552,2021/11/15 21:28,1,34900
553,2021/11/15 20:49,4,5300
554,2021/11/15 16:22,1,38100
555,2021/11/15 15:41,3,30100
556,2021/11/15 14:58,1,50600
557,2021/11/15 14:20,2,41700
558,2021/11/15 03:20,3,7700
559,2021/11/15 02:45,1,49200
560,2021/11/15 01:47,1,57300
561,2021/11/15 00:31,4,1000
562,2021/11/14 23:48,2,27500
563,2021/11/14 23:14,1,70500
564,2021/11/14 22:29,4,11300
565,2021/11/13 23:08,4,-1200
566,2021/11/13 22:22,2,25600
567,2021/11/13 20:27,2,28200
568,2021/11/13 19:09,2,25100
569,2021/11/13 17:05,2,31700
570,2021/11/13 04:06,3,23500
