,time,rank,score
246,2022/2/6 21:50,3,17100
247,2022/2/6 21:20,4,-5800
248,2022/2/6 20:54,3,24100
249,2022/2/6 19:46,1,56300
250,2022/2/6 18:56,4,7800
251,2022/2/6 18:27,1,38700
252,2022/2/6 17:48,2,38700
253,2022/2/6 17:23,4,-3600
254,2022/2/6 16:14,1,43800
255,2022/2/6 15:52,2,31400
256,2022/2/6 14:40,4,4000
257,2022/2/6 14:11,4,-2100
258,2022/2/6 13:39,4,12900
259,2022/2/6 12:54,4,9100
260,2022/2/6 12:06,3,25100
261,2022/2/6 01:39,1,56700
262,2022/2/6 01:11,3,23200
263,2022/2/6 00:42,3,23600
264,2022/2/6 00:10,4,9800
265,2022/2/5 23:35,3,21900
266,2022/2/5 22:27,1,51600
267,2022/2/5 21:37,2,27100
268,2022/2/5 21:00,2,35800
269,2022/2/5 20:19,4,1300
270,2022/2/5 19:45,4,7300
271,2022/2/5 19:04,4,7400
272,2022/2/5 17:01,1,46400
273,2022/2/5 16:37,3,29900
274,2022/2/5 15:54,2,30300
275,2022/2/5 15:02,3,19900
276,2022/2/5 14:09,2,38800
277,2022/2/5 13:07,3,20500
278,2022/2/5 12:52,2,37300
279,2022/2/5 12:19,4,-2600
280,2022/2/5 01:45,2,35100
281,2022/2/5 00:59,2,29700
282,2022/2/5 00:13,4,18000
283,2022/2/4 23:31,3,27400
284,2022/2/4 23:02,2,44900
285,2022/2/4 22:32,3,25700
286,2022/2/4 21:57,2,22600
287,2022/2/4 17:41,2,32300
288,2022/2/4 17:03,3,23900
289,2022/2/4 16:45,3,5200
290,2022/2/4 01:14,2,37800
291,2022/2/4 00:32,3,17100
292,2022/2/3 23:32,1,39800
293,2022/2/3 22:14,3,23000
294,2022/2/3 01:40,1,58600
295,2022/2/3 00:59,4,1700
296,2022/2/3 00:24,2,36300
297,2022/2/2 23:51,2,25600
298,2022/2/2 23:19,4,-9900
299,2022/2/2 22:45,4,5900
300,2022/2/2 00:57,3,4700
301,2022/2/2 00:03,1,70100
302,2022/2/1 23:33,2,29800
303,2022/2/1 22:56,2,25500
304,2022/2/1 22:35,4,18900
305,2022/2/1 17:29,1,38300
306,2022/2/1 17:02,4,12400
307,2022/2/1 15:19,2,29400
308,2022/2/1 14:20,2,34900
309,2022/2/1 01:20,1,39000
310,2022/2/1 00:45,2,32900
311,2022/2/1 00:00,3,21300
312,2022/1/30 23:15,1,41600
313,2022/1/30 22:34,2,23700
314,2022/1/30 18:36,3,11800
315,2022/1/30 17:52,3,23100
316,2022/1/29 21:39,1,35100
317,2022/1/29 00:15,2,30500
318,2022/1/28 23:14,2,30600
319,2022/1/28 22:20,1,38300
320,2022/1/27 23:53,1,31600
321,2022/1/27 00:54,1,37700
322,2022/1/27 00:03,4,7900
323,2022/1/26 22:46,1,50900
324,2022/1/26 21:55,4,20900
325,2022/1/25 23:19,1,35900
326,2022/1/25 22:29,4,8000
327,2022/1/25 00:19,1,39700
328,2022/1/24 23:29,1,33900
329,2022/1/24 01:11,1,44000
330,2022/1/24 00:46,4,6300
331,2022/1/24 00:12,3,22100
332,2022/1/23 23:42,1,32000
333,2022/1/23 22:05,1,43400
334,2022/1/23 21:42,3,27300
335,2022/1/23 20:37,1,33000
336,2022/1/23 20:05,4,15200
337,2022/1/23 19:32,3,28900
